Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used ChatGPT to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;Did you stand up to come to your previous answer    ?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?;What makes a good day for you (1)?_lemmatized;What makes a good day for you (2)?_lemmatized;Good_weather_day;incorrect_answer;stress_level_bins
4-4-2023 12:08:33;artificial intelligence;yes;0;mu;nee;gender fluid;yes;23/11/1997;319;unknown;100.0;0.0;69;11:30;ashes;not ashes;ash;not ash;0;0;high
4-4-2023 12:08:36;artificial intelligence;no;0;sigma;nee;male;not willing to say;5th August, 1995;600;no;60.0;2.0;42;23.00;good food;good sleep;good food;good sleep;0;0;medium
4-4-2023 12:08:38;artificial intelligence;no;0;mu;nee;female;no;21/09;220;no;20.0;5.0;17;23:30;sports;friends;sport;friend;0;0;low
4-4-2023 12:08:52;other;yes;1;mu;ja;male;yes;25-06-1996;100;unknown;50.0;5.0;12;11;gym;piano;gym;piano;0;0;medium
4-4-2023 12:08:59;other;no;0;mu;nee;male;yes;18-08-1998;300;no;65.0;10.0;874;11;relax;sun;relax;sun;1;0;medium
4-4-2023 12:08:59;business analytics;yes;0;mu;ja;female;yes;13-03-2000;500;no;80.0;5.0;13;12am;coffee;sunny weather;coffee;sunny weather;1;0;high
4-4-2023 12:09:02;artificial intelligence;yes;0;mu;ja;male;yes;1999-07-21;150;no;100.0;7.0;27;23:00;good code;good code;good code;good code;0;0;high
4-4-2023 12:09:12;artificial intelligence;yes;1;mu;ja;male;yes;08-03-2000;600;no;30.0;4.0;8;00:00;when the sun shines;if i am able to sport;when the sun shine;if i am able to sport;1;0;low
4-4-2023 12:09:15;computational science;no;0;unknown;nee;male;not willing to say;24-11-1996;525;no;65.0;5.0;3.14;2230;expierence;expierence;expierence;expierence;0;0;medium
4-4-2023 12:09:18;other;no;1;mu;ja;female;not willing to say;07.12.1998;570;no;70.0;6.0;777;00:00;experience a serotonin molecule;experience another serotonin molecule;experience a serotonin molecule;experience another serotonin molecule;0;0;high
4-4-2023 12:09:18;artificial intelligence;yes;0;mu;ja;male;yes;02-01-1999;400;no;10.0;7.0;100;00:15;you;finally losing my virginity;you;finally losing my virginity;0;0;low
4-4-2023 12:09:22;computer science;no;0;mu;ja;male;yes;1999/11/14;550;yes;100.0;0.5;28482947291;7：00;delicious food;nothing;delicious food;nothing;0;0;high
4-4-2023 12:09:22;artificial intelligence;yes;1;mu;ja;male;yes;00-00-0000;-6382;yes;0.0;5.763456375838926;696969;4 am ;netflix and;chill;netflix and;chill;0;1;low
4-4-2023 12:09:26;bioinformatics;yes;0;mu;ja;male;not willing to say;01-10;450;no;15.0;10.0;14;02:00;something surprising emerging;nothing bad happened;something surprising emerging;nothing bad happened;0;0;low
4-4-2023 12:09:28;other;no;1;mu;ja;male;no;25th February ;230;no;42.0;3.0;42;4:30;coffee;engaging activities;coffee;engaging activity;0;0;medium
4-4-2023 12:09:33;business analytics;yes;0;mu;ja;female;yes;25.09.2000;300;yes;50.0;5.763456375838926;25;11;sun;food;sun;food;1;0;medium
4-4-2023 12:09:44;artificial intelligence;yes;1;mu;ja;male;yes;4 feb 1999;600;no;0.0;6.0;666;00:00;coffee;a good night sleep;coffee;a good night sleep;0;0;low
4-4-2023 12:09:44;artificial intelligence;yes;1;mu;ja;male;yes;27-11-1999;600;no;30.0;12.0;4153;22:45;sunny weather;going to the gym;sunny weather;going to the gym;1;0;low
4-4-2023 12:09:45;artificial intelligence;yes;0;mu;nee;male;yes;29-12-1997;750;no;77.0;6.0;866;12:30;thursday;saturday;thursday;saturday;0;0;high
4-4-2023 12:09:51;business analytics;yes;1;mu;ja;female;yes;09-02-2000;534;no;40.0;4.0;93;00:15;sunshine;friends or family;sunshine;friend or family;1;0;medium
4-4-2023 12:09:51;other;no;0;mu;nee;female;no;09-05-1999;350;no;70.0;8.0;9;22:30;good food;good company;good food;good company;0;0;high
4-4-2023 12:09:52;artificial intelligence;yes;0;sigma;nee;male;yes;14-05-1999;150;no;100.0;168.0;290;4am;getting things done;creating;getting thing done;creating;0;1;high
4-4-2023 12:09:53;other;no;1;mu;nee;male;not willing to say;11/11/1997;300;no;50.0;2.0;182638;12:00am;no task;alone;no task;alone;0;0;medium
4-4-2023 12:09:54;business analytics;yes;0;mu;nee;female;no;04-01;800;no;70.0;0.0;90;12.00;eat well;sleep well;eat well;sleep well;0;0;high
4-4-2023 12:09:59;artificial intelligence;yes;1;mu;ja;female;yes;08-08-1997;516;no;6.0;1.0;666;00:30;the sun;friends and food;the sun;friend and food;1;0;low
4-4-2023 12:09:59;other;no;0;mu;nee;female;yes;11-05-1998;85;no;80.0;0.0;11;12;good food;productivity;good food;productivity;0;0;high
4-4-2023 12:10:00;bioinformatics;yes;0;mu;ja;female;no;15-09-2002;450;no;70.0;2.0;96;02.00;eating chocolate;getting a high grade;eating chocolate;getting a high grade;0;0;high
4-4-2023 12:10:03;business analytics;yes;0;mu;nee;male;yes;26/04/1997;400;no;99.0;2.0;4;2 am;being productive;having a good meal;being productive;having a good meal;0;0;high
4-4-2023 12:10:05;bioinformatics;yes;0;sigma;nee;male;yes;2000-10-24;380;unknown;80.0;8.0;30;2:45;food;game;food;game;0;0;high
4-4-2023 12:10:09;artificial intelligence;yes;0;unknown;ja;non-binary;not willing to say;05.07.2002;200;no;10.0;5.0;189572;01:00;good night rest;no anxiety;good night rest;no anxiety;0;0;low
4-4-2023 12:10:11;bioinformatics;yes;0;mu;nee;female;not willing to say;31-01-2000;449;no;67.0;2.0;7;00:30;family;good food;family;good food;0;0;high
4-4-2023 12:10:11;bioinformatics;yes;0;mu;nee;female;yes;03/05/1997;600;no;80.0;2.0;7;22:20;blue skies;lakes beach;blue sky;lake beach;0;0;high
4-4-2023 12:10:14;computer science;unknown;unknown;mu;ja;male;no;31-03-1999;500;unknown;90.0;8.0;24;24:00;good weather;no assigment;good weather;no assigment;1;0;high
4-4-2023 12:10:14;computer science;no;0;mu;ja;female;yes;7.27;200;no;30.0;8.0;27;11.30;sunny days;good meals;sunny day;good meal;1;0;low
4-4-2023 12:10:15;bioinformatics;yes;0;unknown;nee;female;no;18-12-1998;400;no;10.0;4.0;25;2 am ;slept well;food;slept well;food;0;0;low
4-4-2023 12:10:17;finance;yes;1;mu;ja;male;not willing to say;17/02/1998;400;no;80.0;3.0;11;12;friends;family;friend;family;0;0;high
4-4-2023 12:10:17;artificial intelligence;yes;1;mu;nee;female;yes;22/08/1999;400;no;80.0;6.0;69;22:30;a sunny day;if i had a nice workout;a sunny day;if i had a nice workout;1;0;high
4-4-2023 12:10:18;artificial intelligence;no;1;mu;nee;female;yes;28-09-1998;500;no;50.0;4.0;56;23:30;sunny;good food;sunny;good food;1;0;medium
4-4-2023 12:10:18;econometrics;yes;1;mu;ja;male;yes;5 July 2001;300;no;50.0;6.0;10;6 am;feeling productive;exercised;feeling productive;exercised;0;0;medium
4-4-2023 12:10:21;artificial intelligence;yes;1;mu;ja;female;yes;12-03-1999;350;no;40.0;8.0;9;23:30;good food;nice people;good food;nice people;0;0;medium
4-4-2023 12:10:27;other;yes;1;mu;ja;female;yes;14-12-1997;400;no;90.0;4.0;3;01:00;no obligations;being outside in the sun;no obligation;being outside in the sun;1;0;high
4-4-2023 12:10:32;bioinformatics;yes;0;mu;ja;female;yes;31/10/2001;300;no;100.0;2.0;2;4:00am;good morning routine;sunny weather;good morning routine;sunny weather;1;1;high
4-4-2023 12:10:35;computational science;yes;0;mu;ja;female;yes;10/01/2001;270;unknown;39.0;0.0;987.654.321.123.456.000;after midnight;family;friends;family;friend;0;1;medium
4-4-2023 12:10:36;artificial intelligence;yes;1;mu;nee;female;no;01/25/1998;180;no;25.0;5.0;66;11:30;good weather;cats;good weather;cat;1;0;low
4-4-2023 12:10:36;bioinformatics;yes;0;mu;nee;male;yes;24/04/1996;230;no;15.0;12.0;99;1am;food;sex;food;sex;0;0;low
4-4-2023 12:10:38;bioinformatics;yes;0;mu;nee;not willing to answer;yes;08-08-1999;500;no;30.0;4.0;3;0 am;bread;coffee;bread;coffee;0;0;low
4-4-2023 12:10:38;human language technology;yes;0;sigma;nee;female;not willing to say;1994-06-18;400;no;55.0;4.0;4;1230;coffee;good sleep;coffee;good sleep;0;0;medium
4-4-2023 12:10:39;artificial intelligence;no;0;mu;nee;male;yes;19/09/1998;100;no;10.0;0.0;23;12:00;sticking to my timetable;eating good food;sticking to my timetable;eating good food;0;0;low
4-4-2023 12:10:40;econometrics;yes;1;mu;ja;female;not willing to say;08-09-2000;520;no;70.0;4.0;999;12;the sun;chill in nature;the sun;chill in nature;1;0;high
4-4-2023 12:10:41;other;yes;0;mu;nee;female;yes;17-04-1998;550;no;0.0;3.0;43;00.30;working out;no class;working out;no class;0;0;low
4-4-2023 12:10:42;computer science;yes;unknown;mu;ja;male;yes;02-11-2000;200;no;30.0;7.0;Random number;02.00;nice weather;kindness;nice weather;kindness;1;0;low
4-4-2023 12:10:42;econometrics;unknown;0;mu;nee;male;yes;06-09-1998;75;no;55.0;5.0;6;0000;good results;prodictivity;good result;prodictivity;0;0;medium
4-4-2023 12:10:43;computer science;yes;0;unknown;ja;male;not willing to say;2000-2-28;300;unknown;30.0;5.0;69;24:00;coffee;sunset;coffee;sunset;1;0;low
4-4-2023 12:10:45;finance;yes;unknown;mu;nee;male;yes;30 March 1998;200;no;50.0;7.0;42;12:30am;sunny weather;no class;sunny weather;no class;1;0;medium
4-4-2023 12:10:45;computer science;no;0;mu;ja;female;not willing to say;12-06-1998;300;no;99.0;5.763456375838926;22;1:40;good food;biking;good food;biking;0;0;high
4-4-2023 12:10:45;bioinformatics;yes;0;mu;ja;female;yes;16-01-1999;400;no;65.0;3.0;4;22:00;nice weather;friends;nice weather;friend;1;0;medium
4-4-2023 12:10:45;bioinformatics;yes;0;unknown;nee;female;yes;22.04.1996;581;no;100.0;3.0;22;01:00;no class;no exam;no class;no exam;0;0;high
4-4-2023 12:10:46;artificial intelligence;no;0;mu;nee;female;yes;12-08-1999;120;no;30.0;5.0;35;02:00;good breakfast;good workout;good breakfast;good workout;0;0;low
4-4-2023 12:10:47;finance;yes;1;mu;nee;gender fluid;no;17/12;400;no;100.0;5.0;29;02:00;a day where i went to the gym;a productive day study wise;a day where i went to the gym;a productive day study wise;0;1;high
4-4-2023 12:10:48;finance;yes;0;sigma;nee;male;no;2/6/1997;200;no;10.0;0.0;7;01.00;food;sun;food;sun;1;0;low
4-4-2023 12:10:48;cls;no;0;mu;nee;male;yes;28-05-1999;300;no;35.0;3.0;6;0:15;vacation;company;vacation;company;0;0;medium
4-4-2023 12:10:49;human language technology;yes;0;mu;nee;female;no;28 december 2000;500;no;17.0;2.0;22;02:00;good weather;free time;good weather;free time;1;0;low
4-4-2023 12:10:49;artificial intelligence;yes;0;mu;ja;female;not willing to say;31-03-1998;222;no;98.0;0.0;5;around 5:30;eat well;sleep well;eat well;sleep well;0;0;high
4-4-2023 12:10:50;computational science;yes;1;mu;ja;female;not willing to say;02-05-1999;300;no;70.0;1.0;69;12;coffee;friends;coffee;friend;0;0;high
4-4-2023 12:10:50;human language technology;yes;0;mu;nee;female;yes;06/11/2000;200;no;10.0;2.0;5;12:00;good weather;friends;good weather;friend;1;0;low
4-4-2023 12:10:50;finance;yes;1;mu;nee;male;no;02-06-2000;350;no;0.0;4.0;6;22:00;food;sleep;food;sleep;0;0;low
4-4-2023 12:10:51;business analytics;yes;0;mu;nee;female;yes;30-01;150;no;15.0;5.0;8;00:30;sun;good night of sleep;sun;good night of sleep;1;0;low
4-4-2023 12:10:51;artificial intelligence;no;0;mu;nee;female;yes;19-02-2000;350;no;70.0;1.0;28;00:30;good meal;sun;good meal;sun;1;0;high
4-4-2023 12:10:52;bioinformatics;yes;0;mu;nee;male;no;07/08/1997;300;no;50.0;4.0;3;1 am;music;food;music;food;0;0;medium
4-4-2023 12:10:53;bioinformatics;yes;0;mu;ja;female;yes;01/05/1997;580;no;60.0;1.0;8;12;sun;good food;sun;good food;1;0;medium
4-4-2023 12:10:53;artificial intelligence;no;0;mu;nee;female;yes;03311991;300;no;50.0;1.0;99;23:30;nice weather;nice meal and coffee;nice weather;nice meal and coffee;1;0;medium
4-4-2023 12:10:53;econometrics;yes;1;mu;ja;male;yes;08-07-2001;100;no;40.0;7.0;6;00:30;good food;sun;good food;sun;1;0;medium
4-4-2023 12:10:54;artificial intelligence;yes;0;mu;ja;female;no;17/6/1997;285;no;100.0;0.0;65435798764476555;11;no lecture;sun;no lecture;sun;1;1;high
4-4-2023 12:10:55;artificial intelligence;no;0;mu;ja;male;no;2-3;400;no;5.0;10.0;7556544;23:30;holiday;sport;holiday;sport;0;0;low
4-4-2023 12:10:55;business analytics;yes;0;mu;ja;female;no;18-08-1996;350;no;20.0;15.0;26;22:30;sunshine;friends;sunshine;friend;1;0;low
4-4-2023 12:10:56;business analytics;yes;0;mu;ja;male;no;20 June;550;no;30.0;10.0;8;23:00;good weather;friend;good weather;friend;1;0;low
4-4-2023 12:10:56;artificial intelligence;yes;0;mu;ja;female;yes;04-12-1998;170;no;65.0;8.0;69;22:30;good weather;walking my dog;good weather;walking my dog;1;0;medium
4-4-2023 12:10:56;other;yes;0;mu;ja;female;no;16-09-1999;581;no;100.0;0.0;69;23:00;having some free time for once;no exam;having some free time for once;no exam;0;0;high
4-4-2023 12:10:56;computer science;yes;1;mu;ja;male;not willing to say;4.2;400;yes;10.0;6.0;8;1:00;work done;travelling;work done;travelling;0;0;low
4-4-2023 12:10:56;computer science;yes;0;mu;ja;male;yes;5/11/2000;200;no;100.0;2.0;7;4am;well fed;well rested;well fed;well rested;0;0;high
4-4-2023 12:10:56;econometrics;yes;0;mu;nee;male;yes;26/10/1996;300;no;10.0;7.0;936;23:30;productive;coffee;productive;coffee;0;0;low
4-4-2023 12:10:56;other;no;0;mu;nee;female;not willing to say;23 december;365;no;99.0;0.0;7;23.40;gossiping;sleep;gossiping;sleep;0;0;high
4-4-2023 12:10:56;business analytics;yes;1;mu;ja;female;yes;23-10-2001;555;no;66.0;4.0;3;2300;lekker eten;leuke mensen;lekker eten;leuke mensen;0;0;medium
4-4-2023 12:10:56;computational science;yes;0;mu;nee;male;no;22 June 1999;226;no;5.0;3.0;7,38375E+13;00:00;friends;sun;friend;sun;1;0;low
