Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used ChatGPT to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;Did you stand up to come to your previous answer    ?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you?
4-4-2023 12:08:33;Artificial Intelligence;True;0;mu;nee;Other;1.0;1997-11-23;319.0;;100.0;0.0;69.0;11:30:00;Ashes Not ashes
4-4-2023 12:08:36;Artificial Intelligence;False;0;sigma;nee;Male;;1995-08-05;600.0;0.0;60.0;2.0;42.0;;good food good sleep
4-4-2023 12:08:38;ai;False;0;mu;nee;Female;0.0;;220.0;0.0;20.0;5.0;17.0;23:30:00;Sports Friends
4-4-2023 12:08:52;data mining;True;1;mu;ja;Male;1.0;1996-06-25;100.0;;50.0;5.0;12.0;;Gym Piano
4-4-2023 12:08:59;quantitative risk management;False;0;mu;nee;Male;1.0;1998-08-18;300.0;0.0;65.0;10.0;874.0;;Relax Sun
4-4-2023 12:08:59;business analytics;True;0;mu;ja;Female;1.0;2000-03-13;500.0;0.0;80.0;5.0;13.0;;Coffee Sunny weather
4-4-2023 12:09:02;Artificial Intelligence;True;0;mu;ja;Male;1.0;1999-07-21;150.0;0.0;100.0;7.0;27.0;23:00:00;Good code Good code
4-4-2023 12:09:12;Artificial Intelligence;True;1;mu;ja;Male;1.0;2000-08-03;600.0;0.0;30.0;4.0;8.0;00:00:00;When the sun shines If I am able to sport
4-4-2023 12:09:15;computational science;False;0;unknown;nee;Male;;1996-11-24;525.0;0.0;65.0;5.0;3.14;;Expierence  Expierence
4-4-2023 12:09:18;master of quantitative risk management;False;1;mu;ja;Female;;1998-07-12;570.0;0.0;70.0;6.0;777.0;00:00:00;Experience a serotonin molecule  Experience another serotonin molecule 
4-4-2023 12:09:18;Artificial Intelligence;True;0;mu;ja;Male;1.0;1999-02-01;400.0;0.0;10.0;7.0;100.0;00:15:00;You Finally losing my virginity
4-4-2023 12:09:22;computer science;False;0;mu;ja;Male;1.0;1999-11-14;550.0;1.0;100.0;;28482947291.0;;delicious food nothing
4-4-2023 12:09:22;Artificial Intelligence;True;1;mu;ja;Male;1.0;;-6382.0;1.0;;;696969.0;;Netflix and Chill
4-4-2023 12:09:26;bioinformatics;True;0;mu;ja;Male;;;450.0;0.0;15.0;10.0;14.0;02:00:00;Something surprising emerging Nothing bad happened
4-4-2023 12:09:28;computer science: internet and web technology;False;1;mu;ja;Male;0.0;;230.0;0.0;42.0;3.0;42.0;04:30:00;Coffee  Engaging activities 
4-4-2023 12:09:33;ba;True;0;mu;ja;Female;1.0;2000-09-25;300.0;1.0;50.0;;25.0;;Sun Food
4-4-2023 12:09:44;Artificial Intelligence;True;1;mu;ja;Male;1.0;1999-02-04;600.0;0.0;0.0;6.0;666.0;00:00:00;Coffee A good night sleep
4-4-2023 12:09:44;Artificial Intelligence;True;1;mu;ja;Male;1.0;1999-11-27;600.0;0.0;30.0;12.0;4153.0;22:45:00;Sunny weather Going to the gym
4-4-2023 12:09:45;aryamaan710@gmail.com;True;0;mu;nee;Male;1.0;1997-12-29;750.0;0.0;77.0;6.0;866.0;12:30:00;Thursday  Saturday
4-4-2023 12:09:51;ba;True;1;mu;ja;Female;1.0;2000-09-02;534.0;0.0;40.0;4.0;93.0;00:15:00;Sunshine Friends or family 
